Date,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,,,,,,,,
01/01/1993,120,,Route 9 Delaware City,10-003-1008,AQS,1993,106,2018,0,0,106,1993,106
01/02/1993,46,,Route 9 Delaware City,10-003-1008,AQS,1994,122,2017~2018,1,1,122,1994,122
01/03/1993,56,,,42-101-0029,AQS,1995,94,2016~2018,2,1,94,1995,94
01/04/1993,71,,Bellefonte River Road Park,10-003-1003,AQS,1996,125,2015~,2,0,125,1996,125
01/05/1993,120,,Route 9 Delaware City,10-003-1008,AQS,1997,0,2014~,3,1,104,1997,104
01/06/1993,82,,Clarksboro,34-015-0002,AQS,1998,,2013~,3,0,59,1998,59
01/07/1993,101,,,10-003-2002,AQS,1999,,2012~,3,0,57,1999,57
01/08/1993,64,,,10-003-2002,AQS,2000,,2011~,3,0,29,2000,29
01/09/1993,36,,BURLINGTON,34-005-1001,AQS,2001,,2010~,3,0,43,2001,43
01/10/1993,47,,,10-003-2002,AQS,2002,,2009~,3,0,46,2002,46
01/11/1993,57,,,10-003-2002,AQS,2003,,2008~,4,1,48,2003,48
01/12/1993,57,,,10-003-2002,AQS,2004,,2007~,5,1,20,2004,20
01/13/1993,54,,Bellefonte River Road Park,10-003-1003,AQS,2005,,2006~,15,10,26,2005,26
01/14/1993,46,,,10-003-2002,AQS,2006,,2005~,23,8,24,2006,24
01/15/1993,82,,,10-003-2002,AQS,2007,,2004~,30,7,2,2007,2
01/16/1993,76,,,10-003-2002,AQS,2008,,2003~,55,25,1,2008,1
01/17/1993,112,,Route 9 Delaware City,10-003-1008,AQS,2009,,2002~,74,19,0,2009,0
01/18/1993,37,,Route 9 Delaware City,10-003-1008,AQS,2010,,2001~,89,15,0,2010,0
01/19/1993,54,,,10-003-2002,AQS,2011,,2000~,99,10,0,2011,0
01/20/1993,109,,Route 9 Delaware City,10-003-1008,AQS,2012,,1999~,119,20,0,2012,0
01/21/1993,90,,,10-003-3001,AQS,2013,,1998~,135,16,0,2013,0
01/22/1993,89,,Route 9 Delaware City,10-003-1008,AQS,2014,,1997~,179,44,1,2014,1
01/23/1993,131,,Route 9 Delaware City,10-003-1008,AQS,2015,,1996~,225,46,0,2015,0
01/24/1993,80,,Bellefonte River Road Park,10-003-1003,AQS,2016,,1995~,266,41,2,2016,2
01/25/1993,112,,Route 9 Delaware City,10-003-1008,AQS,2017,,1994~,318,52,1,2017,1
01/26/1993,41,,,10-003-2002,AQS,2018,,1993~,360,42,0,2018,0
01/27/1993,123,,Route 9 Delaware City,10-003-1008,AQS,,,,,,910,,
01/28/1993,109,,Route 9 Delaware City,10-003-1008,AQS,,,910,,,,,
01/29/1993,103,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
01/30/1993,101,,,10-003-2002,AQS,,,,,,,,
01/31/1993,89,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/01/1993,49,,,10-003-2002,AQS,,,,,,,,
02/02/1993,50,,,10-003-2002,AQS,,,,,,,,
02/03/1993,107,,,42-101-0022,AQS,,,,,,,,
02/04/1993,135,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/05/1993,111,,,10-003-2002,AQS,,,,,,,,
02/06/1993,55,,,10-003-2002,AQS,,,,,,,,
02/07/1993,85,,,10-003-2002,AQS,,,,,,,,
02/08/1993,64,,,10-003-2002,AQS,,,,,,,,
02/09/1993,104,,,10-003-2002,AQS,,,,,,,,
02/10/1993,103,,Air Management Services Laboratory (AMS LAB),42-101-0004,AQS,,,,,,,,
02/11/1993,96,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
02/12/1993,77,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
02/13/1993,111,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/14/1993,144,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/15/1993,61,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
02/16/1993,46,,,10-003-2002,AQS,,,,,,,,
02/17/1993,132,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/18/1993,133,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/19/1993,99,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/20/1993,81,,,42-101-0027,AQS,,,,,,,,
02/21/1993,105,,,10-003-3001,AQS,,,,,,,,
02/22/1993,104,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/23/1993,123,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/24/1993,99,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/25/1993,103,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/26/1993,43,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
02/27/1993,51,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
02/28/1993,43,,,42-101-0022,AQS,,,,,,,,
03/01/1993,114,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
03/02/1993,103,,COMMUNITY HEALTH SERVICES (CHS),42-101-0047,AQS,,,,,,,,
03/03/1993,80,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
03/04/1993,112,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
03/05/1993,77,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
03/06/1993,81,,,42-101-0022,AQS,,,,,,,,
03/07/1993,69,,,42-101-0022,AQS,,,,,,,,
03/08/1993,94,,,42-101-0029,AQS,,,,,,,,
03/09/1993,79,,,10-003-2002,AQS,,,,,,,,
03/10/1993,46,,,10-003-2002,AQS,,,,,,,,
03/11/1993,69,,,42-101-0022,AQS,,,,,,,,
03/12/1993,69,,,42-101-0022,AQS,,,,,,,,
03/13/1993,90,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
03/14/1993,81,,,42-101-0022,AQS,,,,,,,,
03/15/1993,81,,,42-101-0027,AQS,,,,,,,,
03/16/1993,100,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
03/17/1993,56,,,42-101-0027,AQS,,,,,,,,
03/18/1993,43,,,42-101-0022,AQS,,,,,,,,
03/19/1993,92,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
03/20/1993,55,,,10-003-3001,AQS,,,,,,,,
03/21/1993,81,,,42-101-0022,AQS,,,,,,,,
03/22/1993,72,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
03/23/1993,43,,,10-003-3001,AQS,,,,,,,,
03/24/1993,43,,,42-101-0022,AQS,,,,,,,,
03/25/1993,34,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
03/26/1993,85,,,10-003-2002,AQS,,,,,,,,
03/27/1993,108,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
03/28/1993,77,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
03/29/1993,54,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
03/30/1993,30,,Clarksboro,34-015-0002,AQS,,,,,,,,
03/31/1993,69,,,10-003-3001,AQS,,,,,,,,
04/01/1993,105,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/02/1993,37,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
04/03/1993,116,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/04/1993,29,,,10-003-2002,AQS,,,,,,,,
04/05/1993,44,,,10-003-2002,AQS,,,,,,,,
04/06/1993,71,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/07/1993,86,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/08/1993,61,,,10-003-3001,AQS,,,,,,,,
04/09/1993,54,,,10-003-3001,AQS,,,,,,,,
04/10/1993,74,,,10-003-3001,AQS,,,,,,,,
04/11/1993,29,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/12/1993,111,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/13/1993,54,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/14/1993,95,,,10-003-3001,AQS,,,,,,,,
04/15/1993,54,,,10-003-3001,AQS,,,,,,,,
04/16/1993,56,,,10-003-2002,AQS,,,,,,,,
04/17/1993,102,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/18/1993,74,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/19/1993,85,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
04/20/1993,100,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
04/21/1993,56,,,42-101-0022,AQS,,,,,,,,
04/22/1993,72,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/23/1993,59,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
04/24/1993,51,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
04/25/1993,70,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
04/26/1993,41,,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0002,AQS,,,,,,,,
04/27/1993,55,,,10-003-2002,AQS,,,,,,,,
04/28/1993,72,,,10-003-3001,AQS,,,,,,,,
04/29/1993,107,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
04/30/1993,90,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
05/01/1993,56,,CAMDEN LAB,34-007-0003,AQS,,,,,,,,
05/02/1993,71,,,10-003-3001,AQS,,,,,,,,
05/03/1993,40,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
05/04/1993,67,,,10-003-3001,AQS,,,,,,,,
05/05/1993,36,,,10-003-3001,AQS,,,,,,,,
05/06/1993,74,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
05/07/1993,43,,,42-101-0022,AQS,,,,,,,,
